filename,EN,MI_src1,MI_src2,MI_sum,SD,AG,SF,PSNR_src1,PSNR_src2,PSNR_avg,SSIM_src1,SSIM_src2,SSIM_avg
CT-MRI-2004.png,4.911491394042969,0.45838806763136397,0.4725373094375759,0.9309253770689399,62.566444325243474,7.602711940414912,22.643428336135973,11.663708440859429,9.313202822753373,10.488455631806401,0.3749058167837721,0.37436115144711163,0.37463348411544184
CT-MRI-2005.png,4.9963531494140625,0.5128955816381956,0.48742278413229495,1.0003183657704906,60.52554464820507,7.221338608723434,21.48149211941458,12.069405264002246,9.72451224558636,10.896958754794303,0.3818556656037333,0.37395261263959895,0.3779041391216661
CT-MRI-2006.png,5.069485664367676,0.5729754796122091,0.5203132673775571,1.0932887469897663,58.77837949239884,6.95211592101849,19.971157204780077,12.745876883861698,10.368595047662959,11.557235965762327,0.37808124653382036,0.36726123989254367,0.372671243213182
CT-MRI-2007.png,5.075442314147949,0.6331602904190407,0.5860975305502245,1.2192578209692653,58.00556126573846,6.614454620048743,18.960629439710065,12.814062093303821,10.718683203532937,11.766372648418379,0.38603354224387365,0.3766139136598113,0.38132372795184244
CT-MRI-2008.png,5.234484672546387,0.6579574054892181,0.6206725612166731,1.2786299667058914,58.00135710527319,6.529849851453945,18.23840494200168,12.98085692855706,10.967679547824652,11.974268238190856,0.3860658467784912,0.37485480619932876,0.38046032648891
CT-MRI-2009.png,5.227344036102295,0.7102230601614747,0.690476878007586,1.4006999381690606,59.62373468555461,6.1087427363201945,17.432375028726202,13.04786891740888,11.388260781077138,12.21806484924301,0.39878672130486614,0.3936152288889092,0.3962009750968877
CT-MRI-2010.png,5.143507480621338,0.7252945532594426,0.7515954262660864,1.476889979525529,60.6773351553634,5.7719381312660465,16.880117688030637,13.056707519373807,11.785282711123608,12.420995115248708,0.4097369521861547,0.4028557189526273,0.406296335569391
CT-MRI-2011.png,4.941311359405518,0.7443066271714989,0.7497978491677187,1.4941044763392175,57.667112911952124,5.469525867419557,16.316213141366774,13.416158454012265,12.031507385136543,12.723832919574404,0.43299271418716195,0.43008007488186517,0.43153639453451353
CT-MRI-2012.png,4.857244491577148,0.7524344402293572,0.755366041992503,1.5078004822218602,57.8827443583918,5.260756291663494,16.036892114776492,13.502373586648691,11.99905414159445,12.75071386412157,0.4430514987322583,0.4334926670387179,0.43827208288548813
CT-MRI-2013.png,4.794092655181885,0.7569192264256122,0.7662377482947609,1.523156974720373,58.8011086027534,5.061207982438472,15.722675098560739,13.33734549992201,11.97886434384107,12.65810492188154,0.4382044916552922,0.44014503850675024,0.4391747650810212
CT-MRI-2014.png,4.728391170501709,0.7754225315404393,0.8015682376340435,1.5769907691744827,57.93054980332677,4.711131090282735,15.283460358806696,13.517084144851905,12.011723127748573,12.764403636300239,0.4722805299719273,0.4605857725894154,0.46643315128067137
CT-MRI-2015.png,4.602360248565674,0.7825000027148744,0.8424154141245229,1.6249154168393973,59.01420776372077,4.41968586085973,14.674673164179508,13.560083219892405,11.94239930919974,12.751241264546072,0.4940412718312246,0.4897482690304355,0.4918947704308301
CT-MRI-2016.png,4.4798970222473145,0.79329396805701,0.8309463908264412,1.6242403588834513,61.75050173127264,4.388971426119096,14.674107891178965,13.506188919280813,11.81796751692842,12.662078218104616,0.5131044556923131,0.5015119546285137,0.5073082051604134
CT-MRI-2017.png,4.410972595214844,0.8001468587505548,0.8218170369269107,1.6219638956774656,63.952648452667425,4.448001247855396,15.125788952037135,13.288896276920863,11.7010662379078,12.49498125741433,0.5203904793413839,0.5112243506290488,0.5158074149852163
CT-MRI-2018.png,4.315694808959961,0.7934028120743479,0.8050152266573771,1.598418038731725,64.58849446842696,4.367825229207826,14.762157460620614,13.337633621422263,11.67798833537579,12.507810978399027,0.52272803193106,0.5202030201553393,0.5214655260431996
CT-MRI-2019.png,4.151388168334961,0.7913596677869732,0.7815986592418463,1.5729583270288194,66.59066995622969,4.253973294378393,14.47170582923254,13.359589824478515,11.577654776963254,12.468622300720885,0.5506554584450449,0.5437357062612941,0.5471955823531696
CT-MRI-2020.png,3.897954225540161,0.7751622904888236,0.7224446217002547,1.4976069121890783,67.72773135030728,3.9028806625486414,13.657916929493355,13.417565042640456,11.75983927204038,12.588702157340418,0.5697116220213554,0.5669341823092924,0.5683229021653239
CT-MRI-2021.png,3.5976243019104004,0.7690649035988265,0.6708056811102284,1.439870584709055,68.87485662682066,3.5225718001245467,13.338844410989589,13.377135205647022,11.841176150920198,12.60915567828361,0.6120799946014517,0.6224609102327282,0.61727045241709
CT-MRI-2022.png,3.2004456520080566,0.7236854662019151,0.6243550702237068,1.3480405364256218,67.34099990646189,2.7943134111629395,11.461928134857041,13.636607123650178,12.372545077304082,13.00457610047713,0.662472055360785,0.6949507464712844,0.6787114009160347
MEAN,4.6123939689837,0.7120312228026936,0.7000780913099112,1.4121093141126047,61.59473592684782,5.231683998595085,16.3754720128894,13.138691945617596,11.419894843922176,12.279293394769885,0.4709041260634721,0.4672940718112956,0.4690990989373838
